value_salary,year,region
20762.0,2020,Республика Хакасия
22547.0,2020,Алтайский край
30279.0,2020,Красноярский край
43305.0,2020,Иркутская область
26123.0,2020,Кемеровская область - Кузбасс
25781.0,2020,Новосибирская область
24488.0,2020,Омская область
38396.0,2020,Томская область
62206.0,2020,Дальневосточный федеральный округ
33699.0,2020,Республика Бурятия
23512.0,2020,Республика Саха (Якутия)
34619.0,2020,Забайкальский край
85652.0,2020,Камчатский край
63734.0,2020,Приморский край
67222.0,2020,Хабаровский край
24216.0,2020,Амурская область
110002.0,2020,Магаданская область
106557.0,2020,Сахалинская область
23966.0,2020,Еврейская автономная область
73306.0,2020,Чукотский автономный округ
84860.0,2020,Российская Федерация
96730.0,2020,Центральный федеральный округ
68786.0,2020,Белгородская область
35702.0,2020,Брянская область
31472.0,2020,Владимирская область
35211.0,2020,Воронежская область
20560.0,2020,Ивановская область
24573.0,2020,Калужская область
24437.0,2020,Костромская область
84443.0,2020,Курская область
37030.0,2020,Липецкая область
57547.0,2020,Московская область
30289.0,2020,Орловская область
23699.0,2020,Рязанская область
35883.0,2020,Смоленская область
25963.0,2020,Тамбовская область
26908.0,2020,Тверская область
36598.0,2020,Тульская область
20288.0,2020,Ярославская область
204755.0,2020,Город Москва
92971.0,2020,Северо-Западный федеральный округ
65759.0,2020,Республика Карелия
93654.0,2020,Республика Коми
130678.0,2020,Ненецкий автономный округ
84355.0,2020,Архангельская область
30893.0,2020,Вологодская область
51734.0,2020,Калининградская область
44472.0,2020,Ленинградская область
93559.0,2020,Мурманская область
24999.0,2020,Новгородская область
34701.0,2020,Псковская область
196280.0,2020,Санкт-Петербург
51462.0,2020,Южный федеральный округ
40392.0,2020,Республика Адыгея
36870.0,2020,Республика Калмыкия
48732.0,2020,Республика Крым
43411.0,2020,Краснодарский край
94349.0,2020,Астраханская область
61464.0,2020,Волгоградская область
35970.0,2020,Ростовская область
34047.0,2020,Севастополь
34885.0,2020,Северо-Кавказский федеральный округ
26005.0,2020,Республика Дагестан
30618.0,2020,Республика Ингушетия
31535.0,2020,Кабардино-Балкарская Республика
41042.0,2020,Карачаево-Черкесская Республика
27659.0,2020,Республика Северная Осетия — Алания
34657.0,2020,Чеченская Республика
42929.0,2020,Ставропольский край
57839.0,2020,Приволжский федеральный округ
59933.0,2020,Республика Башкортостан
23829.0,2020,Республика Марий Эл
24724.0,2020,Республика Мордовия
60730.0,2020,Республика Татарстан
57753.0,2020,Удмуртская Республика
22234.0,2020,Чувашская Республика
54419.0,2020,Пермский край
41284.0,2020,Кировская область
17178.0,2020,Нижегородская область
60881.0,2020,Оренбургская область
33235.0,2020,Пензенская область
53892.0,2020,Самарская область
52206.0,2020,Саратовская область
43904.0,2020,Ульяновская область
96154.0,2020,Уральский федеральный округ
49177.0,2020,Курганская область
43448.0,2020,Свердловская область
88874.0,2020,Ханты-Мансийский автономный округ - Югра
144605.0,2020,Ямало-Ненецкий автономный округ
113223.0,2020,Тюменская область
45518.0,2020,Челябинская область
73473.0,2020,Сибирский федеральный округ
35013.0,2020,Республика Алтай
62719.0,2020,Республика Тыва
52793.0,2020,Республика Хакасия
37229.0,2020,Алтайский край
106665.0,2020,Красноярский край
85530.0,2020,Иркутская область
58494.0,2020,Кемеровская область - Кузбасс
49399.0,2020,Новосибирская область
30364.0,2020,Омская область
92053.0,2020,Томская область
110179.0,2020,Дальневосточный федеральный округ
72885.0,2020,Республика Бурятия
68306.0,2020,Республика Саха (Якутия)
108576.0,2020,Забайкальский край
114416.0,2020,Камчатский край
52008.0,2020,Приморский край
81503.0,2020,Хабаровский край
69130.0,2020,Амурская область
103096.0,2020,Магаданская область
328403.0,2020,Сахалинская область
44237.0,2020,Еврейская автономная область
125951.0,2020,Чукотский автономный округ
43967.0,2020,Российская Федерация
48060.0,2020,Центральный федеральный округ
37123.0,2020,Белгородская область
32732.0,2020,Брянская область
36830.0,2020,Владимирская область
34729.0,2020,Воронежская область
23943.0,2020,Ивановская область
49696.0,2020,Калужская область
30360.0,2020,Костромская область
32799.0,2020,Курская область
47420.0,2020,Липецкая область
55088.0,2020,Московская область
29587.0,2020,Орловская область
36286.0,2020,Рязанская область
34019.0,2020,Смоленская область
29131.0,2020,Тамбовская область
36023.0,2020,Тверская область
42696.0,2020,Тульская область
38964.0,2020,Ярославская область
74388.0,2020,Город Москва
53435.0,2020,Северо-Западный федеральный округ
43581.0,2020,Республика Карелия
52360.0,2020,Республика Коми
73961.0,2020,Ненецкий автономный округ
59244.0,2020,Архангельская область
46714.0,2020,Вологодская область
32817.0,2020,Калининградская область
53200.0,2020,Ленинградская область
63951.0,2020,Мурманская область
36294.0,2020,Новгородская область
29552.0,2020,Псковская область
62408.0,2020,Санкт-Петербург
