value_population,year,territory
-8.3,2019,Тульская
-7.3,2019,Ярославская
-6.8,2019,Ярославская
-6.4,2019,Ярославская
-6.2,2019,Ярославская
-6.2,2019,Ярославская
-6.0,2019,Ярославская
-5.8,2019,Ярославская
-5.6,2019,Ярославская
-5.7,2019,Ярославская
-5.7,2019,Ярославская
-5.7,2019,Ярославская
-5.7,2019,Ярославская
-0.9,2019,Москва
-0.2,2019,Москва
0.2,2019,Москва
0.5,2019,Москва
0.7,2019,Москва
1.0,2019,Москва
1.2,2019,Москва
1.5,2019,Москва
1.4,2019,Москва
1.4,2019,Москва
1.3,2019,Москва
1.2,2019,Москва
-4.6,2019,
-4.1,2019,
-3.9,2019,
-3.8,2019,
-3.6,2019,
-3.3,2019,
-3.1,2019,
-2.9,2019,
-2.9,2019,
-2.8,2019,
-2.7,2019,
-2.8,2019,
-8.2,2019,Карелия
-6.9,2019,Карелия
-6.2,2019,Карелия
-6.0,2019,Карелия
-5.9,2019,Карелия
-5.5,2019,Карелия
-5.5,2019,Карелия
-5.4,2019,Карелия
-5.5,2019,Карелия
-5.4,2019,Карелия
-5.2,2019,Карелия
-5.3,2019,Карелия
-3.9,2019,Коми
-3.7,2019,Коми
-3.7,2019,Коми
-3.2,2019,Коми
-3.0,2019,Коми
-2.7,2019,Коми
-2.6,2019,Коми
-2.4,2019,Коми
-2.4,2019,Коми
-2.4,2019,Коми
-2.3,2019,Коми
-2.3,2019,Коми
4.8,2019,Ненецкий
4.2,2019,Ненецкий
3.5,2019,Ненецкий
4.4,2019,Ненецкий
4.0,2019,Ненецкий
4.5,2019,Ненецкий
4.9,2019,Ненецкий
4.8,2019,Ненецкий
4.9,2019,Ненецкий
5.4,2019,Ненецкий
5.0,2019,Ненецкий
5.0,2019,Ненецкий
-6.9,2019,Архангельская
-6.4,2019,Архангельская
-6.0,2019,Архангельская
-5.6,2019,Архангельская
-5.4,2019,Архангельская
-5.0,2019,Архангельская
-4.8,2019,Архангельская
-4.6,2019,Архангельская
-4.4,2019,Архангельская
-4.5,2019,Архангельская
-4.4,2019,Архангельская
-4.4,2019,Архангельская
-5.2,2019,Вологодская
-5.8,2019,Вологодская
-5.3,2019,Вологодская
-5.1,2019,Вологодская
-4.9,2019,Вологодская
-4.6,2019,Вологодская
-4.5,2019,Вологодская
-4.4,2019,Вологодская
-4.3,2019,Вологодская
-4.3,2019,Вологодская
-4.4,2019,Вологодская
-4.4,2019,Вологодская
-4.4,2019,Калининградская
-4.2,2019,Калининградская
-4.1,2019,Калининградская
-3.9,2019,Калининградская
-3.6,2019,Калининградская
-3.4,2019,Калининградская
-2.9,2019,Калининградская
-2.7,2019,Калининградская
-2.6,2019,Калининградская
-2.5,2019,Калининградская
-2.6,2019,Калининградская
-2.7,2019,Калининградская
-7.1,2019,Ленинградская
-6.3,2019,Ленинградская
-5.8,2019,Ленинградская
-5.6,2019,Ленинградская
-5.7,2019,Ленинградская
-5.4,2019,Ленинградская
-5.3,2019,Ленинградская
-5.3,2019,Ленинградская
-5.3,2019,Ленинградская
-5.4,2019,Ленинградская
-5.4,2019,Ленинградская
-5.4,2019,Ленинградская
-3.8,2019,Мурманская
-3.9,2019,Мурманская
-3.8,2019,Мурманская
-3.6,2019,Мурманская
-3.3,2019,Мурманская
-2.9,2019,Мурманская
-2.8,2019,Мурманская
-2.6,2019,Мурманская
-2.5,2019,Мурманская
-2.3,2019,Мурманская
-2.4,2019,Мурманская
-2.4,2019,Мурманская
-9.6,2019,Новгородская
-8.8,2019,Новгородская
-8.1,2019,Новгородская
-8.4,2019,Новгородская
-8.3,2019,Новгородская
-7.9,2019,Новгородская
-7.7,2019,Новгородская
-7.6,2019,Новгородская
-7.8,2019,Новгородская
-7.7,2019,Новгородская
-7.7,2019,Новгородская
-7.7,2019,Новгородская
